,LOC,GEO,ID,id,Sp,SpNr,X,Y,Stems,DBH,height,MeanSal,SE.sal,mean.pH,mean.T
253,9,MF,28,28,R,3,28.65,7.87,1,1,1.51,45.065,2.411017627,7.069,24.9
254,9,MF,29,29,R,3,29.8,6.94,1,3.8,4.8,45.065,2.411017627,7.069,24.9
255,9,MF,30,30,R,3,28.6,3.97,1,3.6,3.6,45.065,2.411017627,7.069,24.9
256,9,MF,31,31,A,1,27.3,4.39,1,15,17.4,45.065,2.411017627,7.069,24.9
257,9,MF,32,32,A,1,26.55,2.77,2,43.8,11.3,45.065,2.411017627,7.069,24.9
258,9,MF,33,33,R,3,23.1,4.11,1,3.4,4.7,45.065,2.411017627,7.069,24.9
259,9,MF,34,34,A,1,22.55,0.18,1,22,22.5,45.065,2.411017627,7.069,24.9
260,9,MF,35,35,A,1,12.55,2.44,1,28,15.4,45.065,2.411017627,7.069,24.9
261,9,MF,36,36,A,1,11.85,0.8,3,66.6,16,45.065,2.411017627,7.069,24.9
262,9,MF,37,37,A,1,10.55,1.06,1,28.5,8.9,45.065,2.411017627,7.069,24.9
263,9,MF,38,38,A,1,9.15,3.94,2,72.2,19.8,45.065,2.411017627,7.069,24.9
264,9,MF,39,39,A,1,4.25,8.17,1,20.3,13.4,45.065,2.411017627,7.069,24.9
265,9,MF,40,40,A,1,3.75,13.11,1,12.5,7.5,45.065,2.411017627,7.069,24.9
266,9,MF,41,41,A,1,4.75,13.25,1,35.5,17.7,45.065,2.411017627,7.069,24.9
267,9,MF,43,43,A,1,5.25,15.85,1,27.4,20.2,45.065,2.411017627,7.069,24.9
268,9,MF,44,44,R,3,3.25,20.76,1,6.5,8.1,45.065,2.411017627,7.069,24.9
269,9,MF,45,45,R,3,5.05,22.62,1,1.9,2.2,45.065,2.411017627,7.069,24.9
270,9,MF,46,46,R,3,5.2,23.61,1,2,2.8,45.065,2.411017627,7.069,24.9
271,9,MF,47,47,A,1,7.5,26.33,2,79.3,23,45.065,2.411017627,7.069,24.9
